"State","Effective_Year","Point_Estimate","CI_Lower","CI_Upper","T_Statistic","P_Value_Two_Tail","P_Value_Left_Tail","P_Value_Right_Tail","Controls","Periods","Dimensions"
"Pennsylvania",2007,-149.316828229655,-622.593093755695,323.959437296385,-0.618372406663653,0.536517375397821,0.268258687698911,0.731741312301089,"KS 0.073; MA 0.072; VT 0.072; VA 0.072; ID 0.071; HI 0.071; OK 0.071; TN 0.071; MS 0.071; NM 0.07; FL 0.07; MT 0.07; WV 0.069","2003 0.727; 1987 0.126; 2000 0.073"," 1;  15;  14.235;  16;  31;  1.813"
"South Carolina",2007,-220.443410610278,-703.270835193221,262.384013972666,-0.89487270771613,0.371141847211549,0.185570923605775,0.814429076394225,"KS 0.075; MA 0.073; VT 0.072; OK 0.072; VA 0.071; HI 0.071; ID 0.07; TN 0.07; MT 0.069; MS 0.069; NM 0.069; FL 0.069; WV 0.067","2003 0.727; 1987 0.126; 2000 0.073"," 1;  15;  14.392;  16;  31;  1.813"
"Colorado",2009,222.367103952631,-198.543589814785,643.277797720047,1.03546792752191,0.300783737167653,0.849608131416173,0.150391868583827,"NH 0.072; ID 0.072; NM 0.071; KS 0.071; TN 0.071; FL 0.071; MS 0.071; VA 0.071; OK 0.071; VT 0.07; MT 0.07; HI 0.069; WV 0.069","2003 0.764; 1987 0.17"," 1;  15;  14.316;  14;  33;  1.622"
"California",2011,-37.9367942376431,-1103.91553971055,1028.04195123526,-0.0697538454885361,0.944408152549116,0.472204076274558,0.527795923725442,"MA 0.073; NH 0.073; HI 0.072; VA 0.072; VT 0.072; WV 0.071; TN 0.071; FL 0.07; MS 0.07; NM 0.07; ID 0.07; MT 0.069; OK 0.069","2003 0.812; 1987 0.137"," 1;  15;  14.27;  12;  35;  1.47"
"Utah",2011,45.6358068846501,-1002.68192083344,1093.95353460274,0.0853235418317449,0.932026916895614,0.533986541552193,0.466013458447807,"NH 0.08; WV 0.079; MS 0.073; TN 0.072; NM 0.071; FL 0.071; MA 0.071; MT 0.07; ID 0.069; VA 0.068; VT 0.067; KS 0.066; HI 0.065","2003 0.812; 1987 0.137"," 1;  15;  14.216;  12;  35;  1.47"
"New Jersey",2012,-548.873489593818,-1701.22025325804,603.473274070399,-0.933566243708703,0.35082773522109,0.175413867610545,0.824586132389455,"NH 0.083; WV 0.078; MA 0.074; MS 0.073; TN 0.073; VT 0.072; VA 0.072; FL 0.071; HI 0.07; NM 0.069; MT 0.069; ID 0.067; OK 0.067","2003 0.838; 1978 0.126"," 1;  15;  14.077;  11;  36;  1.389"
"New York",2015,87.9619762186161,-1369.0010334398,1544.92498587704,0.118332086844749,0.905836176665125,0.547081911667437,0.452918088332562,"NH 0.081; WV 0.076; MS 0.075; TN 0.073; MA 0.072; VT 0.072; MT 0.072; NM 0.071; OK 0.071; FL 0.07; VA 0.07; ID 0.069; HI 0.065","2003 0.795; 1978 0.205"," 1;  15;  13.951;  8;  39;  1.483"
"Rhode Island",2015,60.5219536283874,-1391.46648038695,1512.51038764373,0.0816969518025692,0.934909470087546,0.532545264956227,0.467454735043773,"KS 0.075; HI 0.075; MA 0.075; VA 0.074; VT 0.074; OK 0.072; ID 0.071; NM 0.07; TN 0.069; FL 0.069; MT 0.068; MS 0.067; WV 0.064","2003 0.795; 1978 0.205"," 1;  15;  14.317;  8;  39;  1.483"
"Connecticut",2016,1448.93023424165,289.649352987198,2608.2111154961,2.44971111404907,0.0145244113893101,0.992737794305345,0.00726220569465503,"KS 0.085; MA 0.085; HI 0.081; VA 0.075; WV 0.075; MT 0.071; VT 0.07; ID 0.069; FL 0.069; TN 0.068; NM 0.067; OK 0.065; MS 0.063","2015 1"," 1;  15;  13.972;  7;  40;  1"
"Louisiana",2016,74.2218490061366,-1182.06449695358,1330.50819496585,0.115797504700964,0.90784398377771,0.546078008111145,0.453921991888855,"KS 0.083; HI 0.078; OK 0.074; VA 0.073; ID 0.071; MT 0.071; VT 0.07; NM 0.07; FL 0.07; MA 0.068; WV 0.067; TN 0.066; MS 0.064","2015 1"," 1;  15;  14.383;  7;  40;  1"
"North Carolina",2016,80.8720246021168,-928.372116324652,1090.11616552889,0.157057308328382,0.875241896423121,0.562379051788439,0.437620948211561,"KS 0.079; MA 0.077; HI 0.075; VA 0.074; ID 0.071; TN 0.071; VT 0.071; FL 0.071; WV 0.07; MS 0.07; MT 0.069; NM 0.069; OK 0.067","2015 1"," 1;  15;  14.066;  7;  40;  1"
"North Dakota",2016,-1017.98986885438,-2412.69108484511,376.711347136354,-1.43060041826753,0.152960702858226,0.0764803514291131,0.923519648570887,"NH 0.103; MS 0.092; VT 0.081; TN 0.08; OK 0.079; MA 0.076; MT 0.075; NM 0.069; VA 0.067; WV 0.067; ID 0.065; FL 0.065","2015 1"," 1;  15;  13.3;  7;  40;  1"
"Delaware",2017,-563.964069725718,-1133.35114973895,5.42301028751365,-1.94133238259765,0.0525917108325103,0.0262958554162552,0.973704144583745,"NH 0.095; WV 0.091; MS 0.079; TN 0.078; MA 0.075; FL 0.071; ID 0.069; NM 0.068; VA 0.067; MT 0.067; VT 0.064; HI 0.064; KS 0.06","2016 0.764; 2003 0.18"," 1;  15;  13.668;  6;  41;  1.619"
"Kentucky",2018,117.952534697247,-517.3209724639,753.226041858394,0.363917218962445,0.716022253931043,0.641988873034479,0.358011126965521,"OK 0.076; VT 0.074; HI 0.073; NM 0.073; VA 0.073; MA 0.071; TN 0.071; MS 0.071; MT 0.07; NH 0.07; FL 0.069; ID 0.069; WV 0.068","2016 0.629; 2003 0.193; 2017 0.115"," 1;  15;  14.171;  5;  42;  2.221"
"Maryland",2018,-145.322317852052,-885.623723967645,594.979088263541,-0.384751049555007,0.700530799198821,0.350265399599411,0.649734600400589,"NH 0.079; TN 0.075; VT 0.074; MS 0.074; MA 0.073; VA 0.073; WV 0.072; HI 0.072; FL 0.072; MT 0.07; ID 0.07; NM 0.068; OK 0.067","2016 0.629; 2003 0.193; 2017 0.115"," 1;  15;  13.973;  5;  42;  2.221"
"Missouri",2020,128.015316392991,-491.479488647356,747.510121433338,0.405023606475476,0.685575500304221,0.657212249847889,0.342787750152111,"KS 0.094; HI 0.081; ID 0.075; OK 0.075; MA 0.074; VA 0.074; NM 0.071; VT 0.071; FL 0.071; MT 0.068; WV 0.066; TN 0.065; MS 0.065","2018 0.847; 2016 0.153"," 1;  15;  13.89;  3;  44;  1.349"
"Alabama",2021,10.6487500800623,-787.352777396127,808.650277556252,0.0261547746943942,0.979140836212022,0.510429581893989,0.489570418106011,"KS 0.077; HI 0.076; VA 0.076; MA 0.075; WV 0.073; VT 0.073; FL 0.072; MT 0.07; MS 0.069; OK 0.069; TN 0.069; ID 0.068; NM 0.067","2018 0.462; 2020 0.381; 2016 0.158"," 1;  15;  14.062;  2;  45;  2.612"
"Arkansas",2021,-98.8671552194032,-912.381131401572,714.646820962766,-0.238200731522082,0.811790386057353,0.405895193028677,0.594104806971323,"VT 0.075; MS 0.075; TN 0.074; MA 0.073; VA 0.073; OK 0.073; NH 0.072; ID 0.071; FL 0.071; KS 0.07; MT 0.07; NM 0.069; HI 0.068","2018 0.462; 2020 0.381; 2016 0.158"," 1;  15;  13.982;  2;  45;  2.612"
