"","GeoName","Region","year","Totalemploymentnumberofjobs","Wageandsalaryemployment","Proprietorsemployment","Farmproprietorsemployment","Nonfarmproprietorsemployment2","Farmemployment","Nonfarmemployment","Privatenonfarmemployment","Forestryfishingandrelatedactivities","Miningquarryingandoilandgasextraction","Utilities","Construction","Manufacturing","Wholesaletrade","Retailtrade","Transportationandwarehousing","Information","Financeandinsurance","Realestateandrentalandleasing","Professionalscientificandtechnicalservices","Managementofcompaniesandenterprises","Administrativeandsupportandwastemanagementandremediationservices","Educationalservices","Healthcareandsocialassistance","Artsentertainmentandrecreation","Accommodationandfoodservices","Otherservicesexceptgovernmentandgovernmententerprises","Governmentandgovernmententerprises","Federalcivilian","Military","Stateandlocal","Stategovernment","Localgovernment","Post","year_effective"
"11","Alabama",5,2011,2497974,1949289,548685,40047,508638,48235,2449739,2042001,"14987","11927","14591","138905","246321",79995,273939,"71717","28862",109275,96984,136836,17433,163208,38025,230842,33565,"166116","168473",407738,57575,32704,317459,104448,213011,0,2021
"12","Alabama",5,2012,2503656,1963894,539762,38191,501571,45540,2458116,2054942,"15780","14008","14573","136841","252450",80219,272757,"73619","28238",107620,95275,137340,18388,165514,38246,232108,33827,"170136","168003",403174,56123,31064,315987,103438,212549,0,2021
"13","Alabama",5,2013,2523020,1979322,543698,38337,505361,46050,2476970,2076411,"16022","13627","14701","135665","258942",81027,274848,"75203","28488",109215,95850,138561,17560,165864,40085,234035,34025,"175352","167341",400559,54690,30557,315312,102479,212833,0,2021
"14","Alabama",5,2014,2552256,1996343,555913,37840,518073,43295,2508961,2108827,"16540","13043","14677","135626","262463",85169,278965,"76480","28184",108231,98872,139989,17170,170840,40875,235770,35245,"180644","170044",400134,53566,30065,316503,103325,213178,0,2021
"15","Alabama",5,2015,2587641,2025359,562282,37080,525202,44705,2542936,2143826,"16149","12995","14961","136107","267889",86430,283529,"78804","27397",108755,100183,142957,17441,171816,41170,241949,34713,"186439","174142",399110,53087,29914,316109,103534,212575,0,2021
"16","Alabama",5,2016,2619761,2050129,569632,37280,532352,44493,2575268,2173332,"16109","11458","14962","141702","271213",81722,284245,"78968","27089",111819,103438,145458,19765,176020,41722,246295,37836,"192742","170769",401936,53386,29628,318922,105488,213434,0,2021
"17","Alabama",5,2017,2649222,2073260,575962,36186,539776,44757,2604465,2200089,"15636","10432","14140","142525","274121",81359,284087,"81250","27490",113071,106858,149877,18667,181809,42384,249919,39421,"198233","168810",404376,53219,28908,322249,107509,214740,0,2021
"18","Alabama",5,2018,2692424,2098780,593644,35741,557903,42992,2649432,2242813,"15928","9642","14256","148034","277619",82306,283157,"85397","27681",115895,110748,155362,19132,185116,41441,253443,41816,"200730","175110",406619,53073,28837,324709,108876,215833,0,2021
"19","Alabama",5,2019,2712086,2126752,585334,34553,550781,40417,2671669,2261509,"16318","9173","13756","152455","279259",82080,280854,"91222","27342",112797,106010,156803,19451,190463,42726,259469,41818,"203534","175979",410160,54127,28691,327342,110601,216741,0,2021
"20","Alabama",5,2020,2671005,2044118,626887,34558,592329,40984,2630021,2223294,"15976","8740","13509","157497","269251",80839,279556,"98413","25563",120354,118457,158952,19552,180250,37462,251815,37616,"179356","170136",406727,55961,28575,322191,111427,210764,0,2021
"21","Alabama",5,2021,2769464,2095377,674087,34134,639953,40504,2728960,2323938,"15671","8425","13528","158261","274979",82820,288660,"118384","27780",126198,131522,167538,19657,190819,38301,256484,40376,"188877","175658",405022,55611,28494,320917,109036,211881,1,2021
"22","Alabama",5,2022,2869931,2154012,715919,33784,682135,41204,2828727,2420981,"15615","8825","13475","165585","284309",87542,296118,"125376","30080",135312,145517,175579,20866,194542,40314,262878,41767,"196421","180860",407746,55291,27665,324790,109051,215739,1,2021
"23","Alaska",8,2001,394565,313492,81073,559,80514,775,393790,296462,"(D)","(D)","1691","22339","14326",7184,42401,"22543","8144",9583,11887,19522,3243,15443,4391,33873,8632,"28158","(D)",97328,16375,22011,58942,23082,35860,0,NA
"24","Alaska",8,2002,402192,319550,82642,530,82112,744,401448,300941,"13382","11673","1840","23382","13071",7076,43098,"22363","7820",9543,11645,19639,3304,15530,4592,35747,8893,"29288","19055",100507,16786,22857,60864,23915,36949,0,NA
"25","Alaska",8,2003,405625,323693,81932,516,81416,732,404893,304202,"10825","11208","1885","24881","13289",6999,43483,"22122","7858",9952,12441,20233,2377,15771,4756,38065,8696,"30085","19276",100691,17131,22736,60824,23627,37197,0,NA
"26","Alaska",8,2004,413869,329724,84145,518,83627,729,413140,312495,"12197","10993","1900","25975","14020",7315,44289,"22310","7791",9958,12891,20881,2410,15998,4743,40189,8870,"30574","19191",100645,17203,23831,59611,23259,36352,0,NA
"27","Alaska",8,2005,421422,335457,85965,540,85425,746,420676,319323,"12497","11572","1936","27240","14419",7355,45290,"22364","7900",10287,14006,20831,2390,15909,4892,40877,9223,"31028","19307",101353,17005,24104,60244,23555,36689,0,NA
"28","Alaska",8,2006,431321,342901,88420,535,87885,743,430578,326270,"12334","13489","1945","26868","15105",7560,45331,"22991","7985",10205,14408,21632,2588,16261,5165,41893,9479,"31705","19326",104308,16720,26394,61194,23878,37316,0,NA
"29","Alaska",8,2007,439844,346504,93340,577,92763,772,439072,334567,"12025","15832","1969","26484","15405",7576,45681,"23704","8067",10840,14853,22753,2662,16972,5200,42698,9991,"32055","19800",104505,16848,26515,61142,24356,36786,0,NA
"30","Alaska",8,2008,443602,351103,92499,587,91912,933,442669,336960,"12219","17389","2066","25819","15063",7479,45133,"23881","8012",11406,14858,23588,2889,17174,5128,43134,10276,"32050","19396",105709,16921,26695,62093,24608,37485,0,NA
"31","Alaska",8,2009,442505,350470,92035,596,91439,1093,441412,333537,"11572","16939","2093","24690","15341",7273,44414,"23020","7636",11546,15016,23665,2996,16916,5265,44449,10163,"30937","19606",107875,17084,27748,63043,24890,38153,0,NA
"32","Alaska",8,2010,443940,352400,91540,609,90931,1131,442809,334615,"12004","17738","2262","24024","14997",7209,43645,"22446","7420",11158,15544,24059,3017,16625,5530,46356,10065,"31365","19151",108194,17588,27002,63604,25346,38258,0,NA
"33","Alaska",8,2011,450420,358365,92055,631,91424,1233,449187,340323,"11431","18285","2193","23479","16125",7351,44047,"22917","7343",11723,15878,24304,3048,16691,5430,47721,10451,"32326","19580",108864,17065,27886,63913,25487,38426,0,NA
"34","Alaska",8,2012,459282,364975,94307,645,93662,1066,458216,349272,"11350","21649","2209","23997","16505",7216,43899,"23804","7195",11493,15657,24754,3327,17221,5460,49747,10537,"32858","20394",108944,16420,27948,64576,25780,38796,0,NA
"35","Alaska",8,2013,461205,365777,95428,688,94740,1114,460091,353035,"12042","21158","2239","24118","17093",7595,44120,"23390","7211",11716,16003,25104,3383,17523,5774,50303,10562,"33159","20542",107056,15506,27457,64093,25893,38200,0,NA
"36","Alaska",8,2014,461371,365898,95473,726,94747,1235,460136,355209,"12142","21557","2205","24719","16934",8007,45133,"23298","7308",11147,16386,24475,3428,17355,6029,49612,10571,"34103","20800",104927,14915,26174,63838,26055,37783,0,NA
"37","Alaska",8,2015,461707,367606,94101,776,93325,1241,460466,355665,"10192","21128","2274","25014","16767",8187,45816,"23684","7263",11090,16757,24649,3648,17056,6049,50234,10113,"34956","20788",104801,14959,26094,63748,25534,38214,0,NA
"38","Alaska",8,2016,457142,360916,96226,822,95404,1257,455885,352367,"10251","18648","2347","23936","16449",7426,45646,"23255","7352",11464,17104,23395,3684,17155,5916,51616,10649,"35343","20731",103518,15217,25122,63179,24540,38639,0,NA
"39","Alaska",8,2017,455550,357026,98524,866,97658,1531,454019,350943,"10000","17184","2237","22680","16117",7318,45804,"24102","7134",11381,17446,23425,3451,17106,6009,52375,10944,"35503","20727",103076,15105,25552,62419,23691,38728,0,NA
"40","Alaska",8,2018,454776,355958,98818,877,97941,1600,453176,350447,"10405","15277","2322","23285","15368",7439,44732,"25001","6686",11707,17528,23403,3545,17141,5806,52933,11025,"35806","21038",102729,14891,25790,62048,23515,38533,0,NA
"41","Alaska",8,2019,454743,358585,96158,903,95255,1431,453312,350813,"11103","15309","2326","23499","15552",7423,43798,"26186","6251",11083,16724,23153,3468,17296,5876,53441,10750,"36771","20804",102499,14863,25929,61707,23225,38482,0,NA
"42","Alaska",8,2020,430840,331848,98992,908,98084,1402,429438,328562,"(D)","13696","2451","23285","(D)",7072,41886,"24007","5955",11763,17291,22380,3406,16112,4922,52253,8746,"28850","19684",100876,15438,26561,58877,22614,36263,0,NA
"43","Alaska",8,2021,443047,340349,102698,908,101790,1505,441542,339785,"10297","12785","2621","23015","14663",7168,42219,"26875","6107",12229,18596,23194,3755,16304,5336,53382,9344,"31785","20110",101757,15083,27233,59441,22785,36656,0,NA
"44","Alaska",8,2022,457687,349180,108507,865,107642,1492,456195,353827,"10179","13389","2643","23551","14642",7362,43074,"29850","6406",13062,20473,23740,3882,17048,5721,52932,10251,"34711","20911",102368,15026,27546,59796,22618,37178,0,NA
"45","Arizona",6,2001,2829002,2352082,476920,10086,466834,22316,2806686,2409504,"18083","12919","11233","214418","211028",105069,324534,"81317","62101",152092,124961,166383,22768,234378,32141,228413,54023,"213251","140392",397182,47034,33032,317116,80466,236650,0,2007
"46","Arizona",6,2002,2847070,2356047,491023,7356,483667,19274,2827796,2416188,"18949","11656","11317","213386","193755",103220,328599,"81360","58899",154128,129146,165623,23162,231718,37094,237740,55654,"213969","146813",411608,48933,33316,329359,82386,246973,0,2007
"47","Arizona",6,2003,2917095,2393668,523427,9727,513700,22528,2894567,2474063,"17659","11712","11684","220988","185783",102462,338001,"82198","57885",158683,139210,170768,22524,237578,40937,253323,56206,"217589","148873",420504,50591,34750,335163,83536,251627,0,2007
"48","Arizona",6,2004,3041449,2479962,561487,9541,551946,22562,3018887,2593294,"18017","11598","11726","239849","186887",106414,352318,"85002","56422",163148,157771,183349,24306,249128,44818,263969,58542,"226010","154020",425593,51077,34527,339989,83827,256162,0,2007
"49","Arizona",6,2005,3219799,2610066,609733,9557,600176,23390,3196409,2764136,"17227","12503","12130","273970","190457",111817,374880,"89116","54141",172014,182649,192859,25520,269809,50221,276728,61156,"238181","158758",432273,51831,34147,346295,84646,261649,0,2007
"50","Arizona",6,2006,3375196,2738761,636435,9446,626989,22869,3352327,2914891,"17503","13692","12740","297178","195704",117744,390925,"94716","53851",179531,194262,205636,27929,288018,54153,291967,64082,"249193","166067",437436,52143,33188,352105,84532,267573,0,2007
"51","Arizona",6,2007,3465065,2773067,691998,15029,676969,28319,3436746,2986932,"17525","16203","13182","282612","193257",121971,402239,"97122","51810",189353,203321,217619,29399,293020,55202,308279,68410,"253108","173300",449814,52365,33789,363660,87969,275691,1,2007
"52","Arizona",6,2008,3402806,2706531,696275,15640,680635,27272,3375534,2916404,"16487","19110","13299","240420","183735",120661,387579,"94813","51245",192219,198344,217302,32000,278475,58833,322531,69727,"249570","170054",459130,54448,33842,370840,88164,282676,1,2007
"53","Arizona",6,2009,3228516,2514985,713531,16253,697278,28403,3200113,2747423,"14828","16513","12846","179765","165335",112850,362603,"90206","48959",200639,192216,206549,30926,252348,62001,328077,66538,"237767","166457",452690,56814,34453,361423,84283,277140,1,2007
"54","Arizona",6,2010,3181563,2473077,708486,17192,691294,28609,3152954,2703900,"15507","17968","12518","159505","158823",108772,353032,"87237","47208",194156,193014,205097,29569,250885,67392,340074,66935,"235695","160513",449054,60017,34886,354151,83407,270744,1,2007
"55","Arizona",6,2011,3239037,2499234,739803,18184,721619,29707,3209330,2767402,"15642","17689","12261","159456","161603",109721,357064,"92090","47472",206482,197339,206752,29385,255999,68948,349558,68096,"242528","169317",441928,57250,34048,350630,83998,266632,1,2007
"56","Arizona",6,2012,3295532,2558391,737141,18959,718182,31585,3263947,2820765,"15281","22555","12614","165892","166664",109798,358793,"95802","48794",207341,193124,206622,30939,264009,72044,358800,70545,"247437","173711",443182,56477,33381,353324,85357,267967,1,2007
"57","Arizona",6,2013,3371101,2617479,753622,18636,734986,32585,3338516,2894095,"15233","23092","12293","174505","168492",110642,363166,"97462","53047",214643,194974,212347,33163,278468,72170,366085,71494,"256307","176512",444421,55617,33307,355497,88001,267496,1,2007
"58","Arizona",6,2014,3448146,2669271,778875,18507,760368,30867,3417279,2972579,"15920","22309","12337","176273","169386",113485,379607,"102209","55170",213709,199883,217288,34932,285856,75602,373192,76214,"265916","183291",444700,54636,32110,357954,89687,268267,1,2007
"59","Arizona",6,2015,3547647,2745060,802587,18284,784303,31868,3515779,3072086,"16549","22499","12658","178894","171762",114500,390407,"114732","55888",224165,203228,224074,37265,292062,79116,389563,76798,"277456","190470",443693,54687,31352,357654,91285,266369,1,2007
"60","Arizona",6,2016,3644791,2815426,829365,18197,811168,33400,3611391,3167316,"16387","22710","13261","191362","175205",107995,395500,"128508","56771",236286,207303,231181,41158,302326,79327,404164,79545,"287780","190547",444075,55353,31015,357707,90987,266720,1,2007
"61","Arizona",6,2017,3740747,2883502,857245,17933,839312,30894,3709853,3260447,"15947","21427","12901","203323","178671",109077,401444,"144113","57479",243103,214253,240035,38779,307453,81385,418265,83461,"298126","191205",449406,55846,33194,360366,92876,267490,1,2007
"62","Arizona",6,2018,3854741,2963322,891419,18160,873259,30991,3823750,3372176,"15976","20056","12802","219947","184518",111494,396665,"162082","59298",255096,221031,252040,38054,314163,81113,433465,87276,"303693","203407",451574,55672,33871,362031,93269,268762,1,2007
"63","Arizona",6,2019,3929945,3056377,873568,17718,855850,29591,3900354,3440181,"15624","19196","13015","234518","191004",111641,393080,"177833","60273",255623,208358,256832,38965,325229,86778,450600,87848,"308389","205375",460173,56544,35006,368623,94655,273968,1,2007
"64","Arizona",6,2020,3920033,2967773,952260,17708,934552,30173,3889860,3437710,"14623","18521","12837","244946","191552",111657,392965,"203816","57227",279773,228300,260112,42445,308241,80763,451050,75430,"266680","196772",452150,58973,35715,357462,95506,261956,1,2007
"65","Arizona",6,2021,4086802,3078022,1008780,17709,991071,29162,4057640,3614332,"13858","18745","12779","249845","195434",116934,412039,"224328","61898",294907,247278,277700,45297,315572,86762,462646,81066,"291411","205833",443308,57561,35387,350360,92765,257595,1,2007
"66","Arizona",6,2022,4287595,3206670,1080925,17524,1063401,27735,4259860,3814128,"14280","20295","12818","270022","204725",126540,422975,"240127","66692",309879,272829,289301,53464,322974,92109,476659,85991,"317706","214742",445732,56515,33584,355633,92586,263047,1,2007
"67","Arkansas",5,2001,1482587,1207983,274604,49368,225236,62818,1419769,1210393,"15147","7051","6996","91105","231336",49964,162522,"70892","23720",47864,36462,48439,22620,68872,13316,134077,15403,"83538","81069",209376,20558,18920,169898,66450,103448,0,2021
"68","Arkansas",5,2002,1478920,1203324,275596,45977,229619,58975,1419945,1208936,"15938","6415","6926","90786","218265",48632,162103,"73062","22391",48929,36371,49825,22302,69315,14826,138469,15567,"84456","84358",211009,20939,18855,171215,66587,104628,0,2021
"69","Arkansas",5,2003,1482026,1202285,279741,44406,235335,57569,1424457,1209876,"14380","7171","6855","89392","210094",48264,160873,"72228","23113",49349,37986,51801,21986,71354,15325,142981,15818,"85359","85547",214581,21071,19178,174332,67838,106494,0,2021
"70","Arkansas",5,2004,1505086,1215742,289344,43420,245924,55141,1449945,1232270,"14971","7045","6685","92584","207950",49886,162790,"71604","23235",49446,41422,54872,23219,73931,15489,146024,16194,"88076","86847",217675,20832,18731,178112,70132,107980,0,2021
"71","Arkansas",5,2005,1537671,1232779,304892,42861,262031,53809,1483862,1260919,"14899","7403","6788","99535","205419",51938,164718,"73515","23473",50196,45906,56438,24135,75615,16348,150085,16818,"91135","86555",222943,20885,20925,181133,71212,109921,0,2021
"72","Arkansas",5,2006,1567665,1257489,310176,41518,268658,53754,1513911,1285365,"14443","8841","7030","102421","203175",52344,165400,"74990","23031",51700,48926,58576,24804,78146,17538,154430,17182,"94569","87819",228546,20902,20866,186778,74713,112065,0,2021
"73","Arkansas",5,2007,1582826,1259263,323563,43650,279913,54209,1528617,1298816,"14424","11243","7218","101248","193685",52719,166598,"75701","22816",54344,51689,61483,25632,80156,18049,159723,18034,"96286","87768",229801,20912,20610,188279,75038,113241,0,2021
"74","Arkansas",5,2008,1579250,1259226,320024,43259,276765,55623,1523627,1290882,"14359","14800","7293","98170","186264",52658,163394,"71787","21768",55423,51722,61345,27239,79009,18471,164825,18604,"97642","86109",232745,21288,18741,192716,78702,114014,0,2021
"75","Arkansas",5,2009,1542904,1221315,321589,42629,278960,55016,1487888,1251801,"13704","14775","7271","91832","166727",50727,159436,"65644","20134",57072,50915,59787,28091,77087,19346,168981,18493,"96591","85188",236087,21812,19011,195264,81402,113862,0,2021
"76","Arkansas",5,2010,1541250,1219897,321353,42259,279094,55128,1486122,1249244,"13899","16779","7543","86155","162737",50166,158133,"64326","19403",55713,52286,60577,27703,80607,20494,172582,18748,"95944","85449",236878,22916,18101,195861,81379,114482,0,2021
"77","Arkansas",5,2011,1561929,1223914,338015,41670,296345,53691,1508238,1273573,"13877","15824","7350","84960","162393",50895,161584,"66173","19220",59502,53802,61655,27841,84462,20786,175224,19303,"98261","90461",234665,21094,17936,195635,82062,113573,0,2021
"78","Arkansas",5,2012,1565109,1229571,335538,40629,294909,49635,1515474,1279907,"14517","18605","7898","85017","159495",51323,162120,"66828","18442",58102,52686,60963,31893,82655,20804,178827,19682,"100191","89859",235567,20675,18168,196724,83940,112784,0,2021
"79","Arkansas",5,2013,1569358,1231398,337960,40779,297181,51946,1517412,1283489,"14435","18087","8295","82686","157605",50505,163276,"66339","18495",58879,53103,62336,32428,85343,21668,178960,20082,"102274","88693",233923,20442,18718,194763,83167,111596,0,2021
"80","Arkansas",5,2014,1587408,1243509,343899,40245,303654,51564,1535844,1303433,"14749","17112","8110","83412","158467",52911,167228,"66918","17992",57243,54739,63486,33742,88414,22595,179462,20954,"105145","90754",232411,20193,18029,194189,83599,110590,0,2021
"81","Arkansas",5,2015,1610799,1265002,345797,39934,305863,52512,1558287,1326909,"14380","16751","8249","85162","160559",54068,171891,"70008","16392",58173,55920,64907,34704,89310,22603,182661,20253,"109017","91901",231378,20330,17314,193734,84252,109482,0,2021
"82","Arkansas",5,2016,1629734,1280318,349416,39449,309967,54934,1574800,1345447,"14511","15755","8189","88652","160990",50457,173348,"69556","16303",60808,57853,65786,37339,90352,22618,188147,21335,"112324","91124",229353,20316,16862,192175,83262,108913,0,2021
"83","Arkansas",5,2017,1639903,1285975,353928,38561,315367,52866,1587037,1360205,"14488","13234","7982","89895","163449",51183,172998,"69793","16249",60614,59781,67321,36602,93552,23078,193392,21987,"114443","90164",226832,20094,15525,191213,82357,108856,0,2021
"84","Arkansas",5,2018,1658212,1297140,361072,38717,322355,52549,1605663,1379279,"14761","10588","8072","90641","166363",51707,170785,"72501","14334",63533,61904,69666,36934,95517,23612,196453,22755,"115998","93155",226384,20148,14989,191247,81446,109801,0,2021
"85","Arkansas",5,2019,1663920,1308627,355293,38005,317288,56158,1607762,1382622,"14404","9495","8155","92262","167845",51649,166511,"75873","14138",62840,59587,70219,35831,96100,24446,198808,22749,"118516","93194",225140,20348,14933,189859,80283,109576,0,2021
"86","Arkansas",5,2020,1639829,1260637,379192,37877,341315,54806,1585023,1362963,"14458","9308","8241","97511","160457",50670,167575,"77564","15116",67851,64849,68790,35923,91368,21805,192866,20986,"106983","90642",222060,21272,14965,185823,78648,107175,0,2021
"87","Arkansas",5,2021,1686444,1286046,400398,37702,362696,53486,1632958,1413538,"14171","9677","7878","97937","162678",52755,172651,"82114","16236",71315,72743,72537,36005,97209,22186,193682,22942,"115947","92875",219420,20618,15179,183623,76814,106809,1,2021
"88","Arkansas",5,2022,1755536,1331331,424205,37615,386590,52590,1702946,1482274,"14226","10065","8090","102565","168636",56945,176418,"91558","18081",77180,80147,76760,39794,99034,23608,197663,24216,"121494","95794",220672,20628,14876,185168,76711,108457,1,2021
"89","California",8,2001,19341458,15711829,3629629,81105,3548524,289915,19051543,16437387,"189802","38072","56349","1063103","1867740",727551,1953970,"575285","629281",852685,761404,1530823,296502,1232385,322201,1512062,458153,"1247477","1122542",2614156,246317,225231,2142608,466533,1676075,0,2011
"90","California",8,2002,19358251,15641630,3716621,76768,3639853,317428,19040823,16351283,"190942","33438","56329","1052033","1720501",720933,1968931,"560832","565172",866196,784177,1501765,282511,1235718,346573,1567119,472666,"1256823","1168624",2689540,254162,230271,2205107,478236,1726871,0,2011
"91","California",8,2003,19478732,15591450,3887282,69670,3817612,310619,19168113,16489111,"191150","35911","56949","1087203","1615122",721060,1995437,"554035","548560",891290,849101,1515787,264399,1251560,358259,1616888,477478,"1281745","1177177",2679002,256271,235850,2186881,478711,1708170,0,2011
"92","California",8,2004,19784214,15682745,4101469,66790,4034679,277366,19506848,16854623,"190783","34377","57734","1167793","1601405",735214,2022383,"564623","562379",905743,927676,1561892,242253,1279978,367152,1636058,487625,"1312586","1196969",2652225,251158,233115,2167952,471666,1696286,0,2011
"93","California",8,2005,20126936,15870087,4256849,65734,4191115,244370,19882566,17231816,"200827","36324","57637","1248701","1582797",761232,2069899,"582181","558536",933013,1022521,1590098,232354,1285112,380037,1642686,494137,"1345223","1208501",2650750,250521,223452,2176777,466164,1710613,0,2011
"94","California",8,2006,20505244,16116523,4388721,63912,4324809,222890,20282354,17609813,"202047","40637","58132","1283262","1576191",788178,2094691,"593723","554068",942206,1059706,1654383,222948,1337057,395440,1685297,507537,"1388191","1226119",2672541,247543,221359,2203639,476238,1727401,0,2011
"95","California",8,2007,20888508,16241854,4646654,67493,4579161,235386,20653122,17936923,"210160","46019","60283","1241905","1546946",803205,2109948,"617450","558588",968064,1074274,1753814,217032,1352295,399188,1763840,530847,"1422215","1260850",2716199,246324,217925,2251950,491220,1760730,0,2011
"96","California",8,2008,20654365,16052176,4602189,66821,4535368,222843,20431522,17673803,"214856","54953","61703","1120897","1503137",789566,2037615,"607087","548047",971827,1035891,1778669,221828,1302722,413488,1803307,539947,"1430809","1237454",2757719,248403,223457,2285859,500657,1785202,0,2011
"97","California",8,2009,19837727,15151338,4686389,65844,4620545,227118,19610609,16880617,"200199","52324","62162","942684","1375988",730485,1911529,"577302","515825",1005758,1011472,1697194,213367,1221700,429909,1830864,528121,"1370052","1203682",2729992,253470,224561,2251961,502035,1749926,0,2011
"98","California",8,2010,19642544,14946351,4696193,65373,4630820,232546,19409998,16731337,"212035","60312","59332","865756","1322647",724352,1880137,"567941","508677",953934,1033813,1703247,207094,1248610,439531,1868599,538952,"1369985","1166383",2678661,269052,223833,2185776,495952,1689824,0,2011
"99","California",8,2011,19986185,15091909,4894276,64615,4829661,228094,19758091,17141014,"215327","54706","60105","867250","1335408",745811,1922305,"583577","516534",1013058,1059966,1740834,213245,1275026,445719,1899638,551861,"1409007","1231637",2617077,255623,218883,2142571,493993,1648578,1,2011
"100","California",8,2012,20666919,15713617,4953302,63286,4890016,222074,20444845,17853033,"223861","68881","61543","909050","1345911",760592,1952866,"610245","518352",1011087,1047870,1797778,218152,1338310,465322,2216337,572206,"1454926","1279744",2591812,251499,216386,2123927,490990,1632937,1,2011
"101","California",8,2013,21318697,16212167,5106530,63152,5043378,228826,21089871,18488698,"233738","69892","61235","964472","1357737",784344,1999530,"642468","534086",1013057,1069216,1853085,233763,1404037,485844,2354032,586694,"1528900","1312568",2601173,246714,213744,2140715,494605,1646110,1,2011
"102","California",8,2014,21996861,16694313,5302548,61474,5241074,241695,21755166,19115047,"239287","64367","60191","1002749","1373841",842915,2038746,"699400","553447",993098,1104724,1903373,239322,1461761,510481,2416608,618401,"1613443","1378893",2640119,243255,208263,2188601,510596,1678005,1,2011
"103","California",8,2015,22687175,17187488,5499687,61164,5438523,240604,22446571,19752050,"242513","63467","60926","1059033","1399168",855335,2076223,"830896","576326",1019760,1132032,1967657,245579,1465281,524274,2506385,627425,"1676050","1423720",2694521,245099,204985,2244437,521447,1722990,1,2011
"104","California",8,2016,23177961,17615830,5562131,59117,5503014,235770,22942191,20178581,"248911","60358","64345","1114636","1413855",805247,2078225,"942040","613927",1068142,1153072,1972742,259782,1497525,526889,2575663,639586,"1738452","1405184",2763610,248279,219393,2295938,530338,1765600,1,2011
"105","California",8,2017,23548874,17916675,5632199,58117,5574082,230243,23318631,20522381,"251626","49182","61876","1145508","1418975",807229,2092002,"1047884","609898",1061126,1180973,2002293,256796,1500067,539132,2650916,656046,"1793410","1397442",2796250,248885,217046,2330319,538768,1791551,1,2011
