Data Collection on Fixed Factors and Adoption Drivers,,,,,,,,,,,,,
Fellow: Jaros,,,,,,,,,,,,,
Local Area Unemployment Statistics - LAUS,,,,,,,,,,,,,
,,,,,,,,,,,,,
State/Region/Division:,States,,,,,,,,,,,,
Area: ,Statewide,,,,,,,,,,,,
Measure:,05 Employment,,,,,,,,,,,,
Seasonal:,Seasonally Adjusted,,,,,,,,,,,,
Code:,LAST0XXXXXXXXXXXXXX,,,,,,,,,,,,
Reference Link:,https://www.bls.gov/lau/data.htm,,,,,,,,,,,,
,,,,,,,,,,,,,
State,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Alabama,1987,1673531,1677705,1682630,1687846,1692864,1697356,1701123,1704399,1707653,1710743,1713481,1715427
Alabama,1988,1716333,1716236,1715289,1714072,1713577,1714446,1716667,1719713,1723080,1726688,1730329,1733644
Alabama,1989,1736565,1739063,1741409,1743604,1745559,1747556,1750145,1753543,1757341,1761165,1764849,1768420
Alabama,1990,1771724,1774531,1776525,1777495,1777663,1777133,1776220,1775402,1775022,1775090,1775754,1776949
Alabama,1991,1778320,1779904,1781238,1782110,1782559,1782778,1782831,1782916,1783398,1784131,1784993,1786157
Alabama,1992,1788027,1790851,1795292,1801567,1808694,1815621,1821634,1825967,1828321,1829767,1830980,1832371
Alabama,1993,1834668,1837907,1841761,1845846,1849651,1852748,1854879,1856660,1858875,1861591,1864928,1869386
Alabama,1994,1874720,1880315,1885710,1890746,1896094,1902371,1909685,1917511,1925161,1932093,1937879,1941814
Alabama,1995,1943534,1943843,1943443,1942670,1941993,1941891,1942594,1943956,1945737,1947652,1949557,1951199
Alabama,1996,1952886,1955196,1958835,1964174,1970981,1978456,1985879,1992605,1997772,2001131,2003165,2004931
Alabama,1997,2006990,2009280,2011861,2014864,2017899,2020834,2024056,2027573,2031402,2035243,2038635,2041465
Alabama,1998,2043703,2045158,2045515,2045067,2044313,2043447,2042432,2041957,2042400,2043672,2045192,2046252
Alabama,1999,2046795,2047125,2047415,2047500,2047355,2047333,2047460,2047603,2048020,2048881,2050404,2052351
Alabama,2000,2053949,2054784,2054874,2054308,2053152,2051276,2048806,2046438,2044605,2043660,2043564,2043946
Alabama,2001,2044069,2042970,2040093,2035440,2029836,2024023,2018860,2014114,2009528,2005153,2000776,1996652
Alabama,2002,1993409,1991308,1990149,1990156,1991475,1994039,1997041,1999759,2002048,2003677,2004992,2006022
Alabama,2003,2006892,2007990,2009302,2010144,2009997,2009328,2009033,2009828,2011654,2014068,2016701,2019238
Alabama,2004,2021552,2023866,2026536,2029582,2032412,2034462,2035327,2035039,2034127,2033363,2033321,2034542
Alabama,2005,2036967,2040050,2043798,2048262,2053294,2058271,2062598,2065988,2068361,2070202,2071881,2073747
Alabama,2006,2076274,2079578,2083242,2086954,2090970,2095390,2100433,2106020,2111642,2116606,2120299,2122130
Alabama,2007,2121842,2119869,2116823,2113545,2110691,2108732,2107706,2107457,2107751,2107753,2106972,2105306
Alabama,2008,2102623,2099095,2094860,2089789,2083888,2077449,2070556,2062996,2054491,2044954,2034223,2022463
Alabama,2009,2010397,1998862,1988652,1979920,1971710,1963131,1953914,1944428,1935667,1928957,1925394,1924941
Alabama,2010,1926527,1928468,1929784,1985400,2002112,2007324,2009080,2010218,2010009,2008891,2007592,2006759
Alabama,2011,2006796,2007350,2007816,2007169,2005504,2003376,2002209,2003026,2004723,2006875,2008215,2008108
Alabama,2012,2006675,2005184,2004054,2004181,2005729,2008426,2012346,2017268,2022080,2025669,2027352,2027585
Alabama,2013,2026368,2024756,2023684,2024514,2025647,2026120,2025583,2023681,2021187,2018142,2017103,2016533
Alabama,2014,2017735,2019210,2020422,2020619,2020356,2020405,2020847,2022066,2023749,2025780,2027669,2030175
Alabama,2015,2033561,2036524,2038730,2040484,2040868,2040000,2038753,2038592,2039481,2042129,2045804,2050043
Alabama,2016,2054673,2058744,2061715,2064266,2066501,2068363,2070489,2072871,2074895,2076812,2079175,2082127
Alabama,2017,2086487,2091060,2095470,2100100,2104518,2108321,2111685,2114443,2116974,2118356,2120334,2122936
Alabama,2018,2126765,2132029,2137519,2142721,2146112,2148396,2150399,2151904,2154733,2158591,2163413,2168683
Alabama,2019,2174406,2179714,2183829,2187615,2191116,2193853,2196517,2198465,2200175,2200603,2198939,2194948
Alabama,2020,2188319,2180186,2170896,1883575,2026511,2069745,2103691,2129247,2145758,2154595,2157108,2156403
Alabama,2021,2156212,2157012,2158489,2160750,2162165,2162735,2164741,2168552,2174722,2182181,2190827,2198148
Alabama,2022,2204208,2208737,2211819,2213234,2214169,2213899,2213065,2212456,2212250,2213179,2215645,2220317
Alabama,2023,2225731,2231511,2237042,2241627,2244765,2247353,2250147,2252551,2254625,2256535,2258461,2259783
Alabama,2024,2262097,2264189,2266574,2269299,2272043,2274822,2277558,2279794,2281486,2281841,2281491,2281387
Alabama,2025,2285615,2290909,2294295,2301630,2306352,2310447,2311434,0,0,0,0,0
Alaska,1975,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,1976,149226,149125,149350,150293,151490,152744,153688,154077,154158,154116,153988,153918
Alaska,1977,153995,154287,154700,155136,155542,155896,156342,156961,157703,158415,159001,159423
Alaska,1978,159801,160231,160711,161218,161698,162140,162606,163140,163815,164680,165707,166650
Alaska,1979,167346,167705,167781,167702,167596,167546,167585,167739,168057,168559,169217,169951
Alaska,1980,170593,171069,171379,171494,171492,171500,171517,171616,171847,172230,172844,173797
Alaska,1981,175035,176404,177715,178910,179973,181015,182123,183340,184617,185904,186995,187833
Alaska,1982,188523,189256,190237,191575,193170,194801,196358,197709,198802,199702,200625,201700
Alaska,1983,203012,204599,206398,208265,210141,211948,213554,214809,215702,216381,217017,217697
Alaska,1984,218557,219718,221159,222704,224128,225294,226263,227150,227994,228798,229602,230419
Alaska,1985,231125,231485,231437,231229,231130,231286,231662,232283,233115,233952,234615,235093
Alaska,1986,235368,235499,235565,235548,235385,235114,234843,234576,234318,234094,233831,233498
Alaska,1987,233201,232988,232812,232629,232575,232729,233022,233433,234000,234734,235568,236297
Alaska,1988,236754,237028,237247,237468,237771,238212,238897,239799,240792,241756,242703,243709
Alaska,1989,244839,246025,247300,248709,250028,251122,251878,252233,252284,252264,252318,252450
Alaska,1990,252639,252880,253118,253230,253270,253264,253289,253445,253653,253717,253669,253697
Alaska,1991,253775,253837,253893,254026,254247,254456,254594,254697,254891,255267,255789,256400
Alaska,1992,257178,258130,259132,260146,261101,261915,262634,263302,263926,264624,265425,266264
Alaska,1993,267149,268096,269053,269914,270634,271384,272166,272920,273720,274563,275360,276063
Alaska,1994,276576,276851,276962,277103,277419,277861,278366,278987,279583,279974,280195,280300
Alaska,1995,280276,280157,280034,279917,279847,279947,280241,280557,280809,281033,281230,281391
Alaska,1996,281623,282017,282608,283322,284116,284870,285497,285971,286275,286401,286386,286419
Alaska,1997,286611,287005,287603,288358,289112,289720,290191,290609,291068,291598,292207,292828
Alaska,1998,293431,293929,294176,294204,294110,294057,294096,294262,294567,294995,295437,295760
Alaska,1999,295879,295853,295791,295798,295933,296181,296558,297037,297532,298004,298436,298798
Alaska,2000,299103,299360,299584,299707,299703,299584,299374,299196,299145,299242,299517,299950
Alaska,2001,300405,300789,301114,301385,301643,301912,302192,302342,302355,302314,302244,302207
Alaska,2002,302283,302449,302633,302881,303225,303648,304060,304460,304891,305284,305629,305945
Alaska,2003,306250,306550,306768,306813,306689,306531,306526,306784,307223,307777,308386,308930
Alaska,2004,309298,309561,309876,310319,310910,311669,312551,313448,314306,315091,315799,316485
Alaska,2005,317220,317985,318741,319505,320251,320871,321289,321487,321548,321609,321722,321925
Alaska,2006,322341,322964,323734,324518,325181,325689,326078,326423,326732,327035,327379,327683
Alaska,2007,327792,327755,327619,327436,327344,327428,327720,328189,328744,329297,329796,330310
Alaska,2008,330850,331348,331832,332340,332771,333040,333164,333204,333205,333105,332852,332472
Alaska,2009,332033,331624,331344,331240,331265,331316,331218,330913,330526,330140,329939,329986
Alaska,2010,330233,330596,330966,331265,331543,331792,331998,332206,332436,332802,333227,333640
Alaska,2011,334080,334447,334675,334834,334995,335282,335798,336439,337010,337401,337613,337662
Alaska,2012,337590,337501,337411,337257,337137,337131,337266,337532,337899,338222,338368,338299
Alaska,2013,338057,337758,337569,337618,337789,337934,338023,338048,338013,337947,337937,338036
Alaska,2014,338278,338661,339067,339308,339387,339415,339367,339343,339416,339593,339788,339952
Alaska,2015,339969,339800,339561,339383,339207,338950,338644,338311,337964,337673,337483,337412
Alaska,2016,337440,337505,337490,337390,337257,337098,336921,336740,336637,336654,336792,336998
Alaska,2017,337246,337475,337593,337534,337323,337008,336591,336072,335460,334824,334203,333697
Alaska,2018,333399,333341,333482,333634,333651,333509,333233,332823,332283,331734,331276,330933
Alaska,2019,330685,330642,330808,331194,331667,332051,332276,332377,332498,332582,332649,332607
Alaska,2020,332300,331648,330889,296559,303349,306465,310124,313403,316561,318880,320599,321753
Alaska,2021,322609,323370,324143,324916,325722,326643,327756,329124,330672,332416,334033,335382
Alaska,2022,336478,337308,337884,338261,338449,338455,338253,337988,337846,337960,338404,339084
Alaska,2023,339806,340555,341261,341843,342229,342457,342577,342538,342300,341925,341568,341386
Alaska,2024,341406,341594,341885,342250,342636,342951,343142,343286,343431,343520,343503,343485
Alaska,2025,344380,345264,346302,347446,347582,347620,347626,0,0,0,0,0
Arizona,1975,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,1976,865261,864530,865188,869736,875830,882378,888505,893896,899322,904825,910344,915921
Arizona,1977,921789,928095,934558,941211,947897,954267,960152,965587,970672,975193,979220,983064
Arizona,1978,987215,991868,997267,1003428,1010187,1017345,1024277,1030606,1036756,1043749,1051837,1060136
Arizona,1979,1067719,1074185,1079385,1083428,1087117,1091145,1096340,1102950,1110347,1117639,1124539,1130956
Arizona,1980,1136447,1140782,1143962,1146214,1147877,1149591,1151887,1155175,1159282,1163587,1167783,1172318
Arizona,1981,1177388,1182699,1188187,1193586,1198373,1202411,1205474,1207465,1209010,1210856,1212637,1214172
Arizona,1982,1215951,1218147,1220463,1222873,1225221,1227061,1228265,1228944,1229170,1229280,1230341,1232598
Arizona,1983,1235875,1240591,1247108,1255481,1265492,1276617,1288387,1300368,1312185,1323455,1333656,1342941
Arizona,1984,1352026,1361375,1370793,1379635,1387625,1394591,1400327,1404586,1407539,1409929,1412610,1415806
Arizona,1985,1418782,1420566,1421010,1421233,1422027,1424058,1427700,1433354,1440763,1448915,1456929,1464225
Arizona,1986,1470933,1477629,1484469,1490844,1496458,1501539,1506079,1509934,1513036,1515809,1518606,1522132
Arizona,1987,1526662,1531837,1537708,1544062,1550363,1556056,1561219,1566095,1570960,1575621,1579963,1583517
Arizona,1988,1586248,1588734,1591196,1594189,1598481,1604151,1610929,1618406,1626339,1634476,1642432,1650106
Arizona,1989,1657265,1663253,1668117,1671722,1673944,1675268,1676143,1676906,1677956,1679833,1682534,1685513
Arizona,1990,1688476,1691375,1693907,1696143,1698436,1700460,1702030,1703206,1703647,1703114,1702207,1701456
Arizona,1991,1700907,1700879,1701363,1701983,1702480,1703095,1704012,1705094,1706356,1707615,1708892,1710444
Arizona,1992,1712557,1715329,1718942,1723549,1728700,1733724,1738201,1742242,1746044,1750041,1754051,1758311
Arizona,1993,1763665,1770563,1779144,1789214,1800289,1812018,1823784,1835348,1847195,1859840,1873430,1887946
Arizona,1994,1902602,1916342,1928633,1939625,1950024,1960672,1972482,1985657,1999887,2014766,2029918,2044347
Arizona,1995,2057359,2069316,2080390,2090477,2099863,2108739,2116916,2123745,2128890,2132352,2134535,2136043
Arizona,1996,2137726,2139959,2143034,2147113,2151729,2156330,2160808,2165244,2168903,2171208,2172489,2173603
Arizona,1997,2175100,2177386,2180937,2185708,2191314,2197315,2203285,2209125,2215121,2221357,2227529,2233856
Arizona,1998,2240519,2247591,2254844,2262468,2270726,2279453,2288407,2297625,2307153,2316705,2325704,2333474
Arizona,1999,2339952,2345470,2350455,2355097,2359271,2363190,2366979,2370617,2374219,2377985,2382258,2386816
Arizona,2000,2391253,2395121,2397997,2399940,2401588,2403485,2406144,2410282,2416193,2423853,2432513,2441060
Arizona,2001,2448278,2453731,2457498,2459792,2461191,2462256,2463580,2464852,2465827,2466902,2468391,2470921
Arizona,2002,2474817,2479543,2484649,2490279,2496206,2502057,2507159,2511451,2515008,2517410,2519131,2520848
Arizona,2003,2523325,2526946,2531261,2535362,2538907,2542423,2546614,2551788,2558178,2565765,2573823,2581328
Arizona,2004,2587545,2592712,2597739,2602975,2608536,2614451,2620592,2626712,2632413,2637288,2641649,2646197
Arizona,2005,2651559,2657902,2665402,2674205,2683898,2693311,2701556,2708311,2714042,2719923,2726718,2734705
Arizona,2006,2744000,2753878,2763553,2772521,2780817,2788671,2796905,2805924,2815305,2824381,2832274,2838107
Arizona,2007,2841603,2843469,2844168,2844258,2844421,2845067,2845924,2846883,2848136,2849540,2851104,2852761
Arizona,2008,2853932,2854471,2854422,2853811,2852830,2851806,2850682,2848934,2845566,2839536,2830399,2818808
Arizona,2009,2805900,2793139,2782428,2774547,2768255,2762325,2755829,2748362,2740688,2734069,2729882,2728607
Arizona,2010,2730037,2732755,2735045,2736227,2736547,2735821,2734116,2732120,2730132,2728644,2727817,2727789
Arizona,2011,2728400,2728905,2728694,2727407,2725501,2724049,2724132,2726028,2729511,2733967,2738298,2741826
Arizona,2012,2744675,2747179,2749126,2750593,2752277,2754641,2757761,2761307,2764810,2767301,2768270,2767673
Arizona,2013,2766002,2764768,2765412,2768451,2772783,2777113,2780816,2783790,2786333,2789303,2793710,2799627
Arizona,2014,2806634,2814060,2821208,2827539,2833571,2840297,2847824,2856287,2865382,2874157,2881596,2887875
Arizona,2015,2893441,2898478,2903640,2909268,2914891,2919814,2923947,2927735,2932087,2938149,2946042,2954882
Arizona,2016,2963663,2971732,2978716,2984730,2990416,2996266,3002403,3008563,3014341,3019783,3025580,3032350
Arizona,2017,3040323,3049421,3058824,3068047,3076622,3083975,3090117,3095081,3099094,3102961,3107338,3113373
Arizona,2018,3121522,3131841,3143458,3154642,3164168,3172145,3179042,3185810,3193079,3200904,3209036,3217144
Arizona,2019,3225026,3232917,3240881,3249403,3258244,3267070,3275630,3283990,3293195,3302664,3311260,3316488
Arizona,2020,3316688,3311825,3304570,2924531,3060327,3109820,3157685,3197302,3230463,3253386,3268855,3279114
Arizona,2021,3287784,3297125,3308449,3320977,3333770,3345615,3356751,3367999,3379850,3392779,3406120,3419286
Arizona,2022,3431674,3442744,3451918,3459432,3465615,3470390,3473828,3477004,3481101,3486771,3494337,3503723
Arizona,2023,3514108,3524998,3535593,3545325,3553602,3560962,3567602,3573214,3578079,3582588,3587335,3592525
Arizona,2024,3597938,3603174,3607391,3610053,3611476,3611818,3611730,3612292,3613677,3615168,3615723,3615734
Arizona,2025,3624798,3631272,3631240,3633182,3632576,3637723,3642331,0,0,0,0,0
Arkansas,1975,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,1976,825233,824864,824708,825794,827725,830282,832931,835294,837474,839525,841605,843842
Arkansas,1977,846357,849311,852678,856415,860265,864105,867871,871316,874060,875835,876863,877563
Arkansas,1978,878517,879944,881852,884191,886712,888946,890550,891628,892615,894093,896213,898717
Arkansas,1979,901339,903954,906498,908722,910623,912268,913984,915957,918090,920247,922204,923550
Arkansas,1980,923717,922381,919685,916279,913010,910664,909571,909932,911791,914642,918045,921928
Arkansas,1981,925878,929261,931703,932967,933170,932770,932119,931210,929886,928132,925823,923145
Arkansas,1982,920727,919107,918328,918310,918838,919564,920159,920446,920418,920051,919512,918832
Arkansas,1983,918164,918040,918881,920885,923757,927131,930857,934613,938206,941762,945198,948349
Arkansas,1984,951177,953466,954973,955521,955186,954082,952358,950444,948627,947260,946918,947803
Arkansas,1985,949581,951721,953770,955490,956871,957982,958838,959700,960741,961877,962891,963687
Arkansas,1986,964307,964978,965981,967466,969442,971811,974284,976345,977723,978344,978262,978204
Arkansas,1987,978830,980402,982930,986074,989328,992353,995112,997561,999792,1001871,1003918,1005567
Arkansas,1988,1006546,1007115,1007493,1007878,1008367,1008964,1009684,1010740,1012302,1014408,1016937,1019637
Arkansas,1989,1022338,1024576,1026297,1027813,1029475,1031505,1033941,1036676,1039399,1041927,1044001,1045530
Arkansas,1990,1046565,1047286,1047803,1048198,1048620,1049047,1049455,1049739,1049800,1049519,1049098,1048655
Arkansas,1991,1048116,1047672,1047489,1047684,1048434,1049857,1051750,1053965,1056447,1059106,1061962,1065101
Arkansas,1992,1068584,1072148,1075497,1078261,1080055,1080819,1080873,1080497,1079988,1079856,1080270,1081386
Arkansas,1993,1083354,1086121,1089558,1093306,1096921,1100205,1103213,1106230,1109534,1112945,1116159,1119177
Arkansas,1994,1122029,1124685,1127183,1129936,1133272,1137076,1140941,1144475,1147612,1150646,1153821,1156620
Arkansas,1995,1158542,1159667,1160059,1159794,1159310,1159177,1159750,1161013,1162558,1163995,1165022,1165621
Arkansas,1996,1166002,1166356,1167002,1168189,1169912,1171957,1174042,1175715,1176409,1175891,1174606,1173436
Arkansas,1997,1172858,1172892,1173496,1174396,1175136,1175483,1175557,1175617,1175898,1176288,1176467,1176370
Arkansas,1998,1176237,1176430,1176946,1177782,1178972,1180317,1181485,1182518,1183731,1185290,1187090,1188896
Arkansas,1999,1190582,1192137,1193658,1195151,1196490,1197743,1199097,1200672,1202438,1204397,1206627,1208781
Arkansas,2000,1210453,1211325,1211271,1210421,1209102,1207598,1206132,1205038,1204599,1204906,1205665,1206489
Arkansas,2001,1206891,1206637,1205824,1204566,1203226,1202120,1201495,1201083,1200627,1200217,1200010,1200354
Arkansas,2002,1201512,1203367,1205566,1208089,1210765,1213218,1215010,1216034,1216303,1215729,1214580,1213160
Arkansas,2003,1211796,1210748,1210041,1209410,1208717,1208330,1208661,1209833,1211747,1214117,1216529,1218633
Arkansas,2004,1220236,1221459,1222757,1224570,1227043,1230038,1233365,1236760,1240038,1243118,1246036,1248980
Arkansas,2005,1252172,1255647,1259277,1262792,1266033,1268793,1270713,1271830,1272509,1273132,1273940,1274873
Arkansas,2006,1275846,1276769,1277484,1277811,1277749,1277403,1277257,1277611,1278358,1279552,1281035,1282410
Arkansas,2007,1283269,1283316,1282527,1281310,1280045,1279060,1278674,1279140,1280559,1282581,1284814,1287060
Arkansas,2008,1289057,1290738,1292029,1292881,1293500,1293962,1293871,1292666,1290062,1286050,1280976,1275448
Arkansas,2009,1270016,1265323,1261933,1259783,1258086,1256346,1254369,1252111,1249684,1247249,1245219,1243958
Arkansas,2010,1243929,1245031,1246885,1249195,1251525,1253087,1253376,1252584,1251113,1249672,1248638,1248113
Arkansas,2011,1247793,1247191,1246204,1244926,1243966,1244155,1245946,1249061,1252751,1256181,1258636,1259743
Arkansas,2012,1259643,1258787,1257280,1255359,1253393,1251429,1249519,1247800,1246381,1244983,1243404,1241724
Arkansas,2013,1239984,1238430,1237361,1236851,1236487,1235995,1235284,1234343,1233446,1233073,1233517,1234625
Arkansas,2014,1236202,1237948,1239535,1240774,1241913,1243429,1245489,1248158,1251186,1254014,1256126,1257564
Arkansas,2015,1258688,1259787,1261263,1263225,1265338,1267143,1268565,1269753,1271022,1272936,1275637,1278578
Arkansas,2016,1281130,1282907,1283776,1283850,1283555,1283205,1282900,1282586,1282176,1281640,1281386,1281884
Arkansas,2017,1283229,1285311,1287615,1289834,1291755,1293030,1293485,1293085,1292023,1290667,1289264,1288255
Arkansas,2018,1287906,1288386,1289560,1290778,1291458,1291689,1291749,1292051,1292866,1294294,1296275,1298530
Arkansas,2019,1300616,1302199,1302972,1303119,1302934,1302779,1303021,1303902,1305530,1307203,1308082,1307431
Arkansas,2020,1305296,1302219,1299745,1210815,1222525,1230840,1241227,1249524,1256469,1259976,1261840,1262592
Arkansas,2021,1263309,1264499,1267029,1269801,1272632,1275272,1277856,1281141,1285436,1291172,1297269,1303357
Arkansas,2022,1308725,1313291,1316541,1318839,1320077,1320709,1320976,1321241,1321968,1323384,1325636,1328531
Arkansas,2023,1331673,1334672,1337333,1339547,1341199,1342463,1343499,1344330,1344998,1345613,1346331,1347492
Arkansas,2024,1348957,1350912,1353275,1355927,1358701,1361155,1363135,1364690,1365818,1366565,1366712,1366792
Arkansas,2025,1368732,1369203,1368980,1370429,1371083,1371134,1371690,0,0,0,0,0
California,1975,0,0,0,0,0,0,0,0,0,0,0,0
California,1976,8873133,8868962,8872549,8898260,8933049,8970900,9005290,9033471,9060468,9088117,9118908,9155565
California,1977,9200277,9252000,9307241,9363375,9418511,9472303,9526414,9582934,9642016,9701366,9759109,9814002
California,1978,9867785,9922172,9976939,10031117,10084113,10133982,10178025,10216385,10252856,10292024,10334179,10375022
California,1979,10410535,10441227,10469507,10497042,10526418,10558963,10596371,10637578,10678589,10716778,10750810,10779028
California,1980,10797980,10805467,10803389,10796642,10790352,10790284,10798666,10814911,10836952,10860566,10884712,10912376
California,1981,10943028,10972973,11000206,11021353,11033311,11036955,11034090,11027005,11019014,11012894,11007865,11004411
California,1982,11005754,11012094,11019992,11028745,11037832,11043682,11044814,11042227,11036808,11029913,11024256,11020231
California,1983,11019287,11027213,11047929,11083225,11131443,11188799,11250831,11311210,11365728,11413943,11457400,11500355
California,1984,11548810,11604871,11666401,11728301,11786619,11838931,11883975,11924074,11962951,12004914,12053087,12105375
California,1985,12154020,12191999,12217385,12232492,12243166,12256426,12277177,12308869,12350160,12395225,12438326,12476026
California,1986,12509639,12543654,12581605,12625136,12673257,12724498,12776716,12826033,12870686,12911948,12950689,12991651
California,1987,13037522,13087508,13141259,13196913,13251677,13303281,13351436,13397655,13444426,13491773,13539853,13585821
California,1988,13627264,13665096,13699751,13733130,13767505,13804362,13843564,13884839,13928145,13974119,14021959,14069360
California,1989,14114650,14154886,14190348,14221678,14249787,14276769,14304078,14331146,14355737,14377947,14396440,14410293
California,1990,14419295,14422864,14419107,14406578,14385765,14355559,14317172,14273326,14225784,14174831,14124915,14079478
California,1991,14038476,14003756,13975292,13953326,13938438,13930582,13927727,13927131,13926816,13924145,13918531,13911078
California,1992,13904799,13901089,13902074,13906440,13908776,13905300,13895142,13879395,13860381,13841733,13823646,13807420
California,1993,13795807,13788872,13786915,13789786,13795441,13801011,13804115,13805520,13808934,13816737,13828738,13844568
California,1994,13861975,13877228,13886941,13891464,13895570,13903961,13919124,13939828,13963428,13987748,14011217,14028619
California,1995,14035637,14034774,14029692,14023833,14021661,14025603,14035669,14048897,14061392,14070898,14077569,14083954
California,1996,14094769,14112923,14139758,14174679,14215660,14260614,14307412,14353930,14396502,14432973,14465792,14499774
California,1997,14537548,14580127,14628731,14681882,14734297,14782632,14827285,14869038,14909023,14947229,14982027,15014350
California,1998,15045348,15075596,15103604,15130471,15158070,15186130,15213857,15242961,15274330,15307152,15338384,15365405
California,1999,15389133,15412705,15439355,15470059,15503987,15540565,15577431,15613796,15651413,15691851,15738118,15789145
California,2000,15840758,15888596,15929739,15963745,15992643,16018643,16045529,16077726,16116418,16161003,16206301,16245299
California,2001,16272055,16283569,16280288,16264886,16243496,16220813,16200396,16179907,16158716,16138975,16121794,16110192
California,2002,16105717,16106798,16110469,16116812,16125605,16136091,16144833,16150184,16150872,16144879,16135681,16126305
California,2003,16120035,16119254,16122257,16123842,16120192,16114527,16111873,16116244,16130663,16154341,16182669,16210487
California,2004,16233740,16252096,16269921,16290388,16314463,16341928,16371971,16402029,16428813,16451102,16470495,16491060
California,2005,16516137,16545987,16581058,16621277,16664561,16704508,16735182,16755330,16766716,16774289,16782205,16792132
California,2006,16806092,16824075,16842930,16859651,16874953,16890420,16910105,16936057,16966710,17000074,17032074,17057734
California,2007,17073999,17082646,17086577,17089783,17093868,17099731,17107133,17115252,17124721,17133253,17139939,17145179
California,2008,17146553,17142880,17133940,17119514,17101196,17080941,17058129,17029819,16990758,16936307,16865033,16779564
California,2009,16686290,16593772,16512046,16445280,16387767,16333339,16277371,16219089,16163519,16117011,16086191,16074173
California,2010,16079432,16093187,16106534,16115659,16120382,16118349,16109374,16097616,16086102,16078729,16077379,16082795
California,2011,16094540,16108988,16121965,16131427,16140571,16155513,16181076,16216617,16258359,16301477,16340029,16370392
California,2012,16394034,16415716,16436805,16457853,16483005,16515510,16556134,16602934,16652369,16698154,16735861,16764774
California,2013,16786267,16805242,16827767,16857891,16889883,16916720,16935863,16948425,16958410,16971580,16992923,17022691
California,2014,17059581,17100590,17141518,17178432,17214100,17253948,17297350,17343627,17391133,17435911,17474065,17506097
California,2015,17534241,17560173,17587613,17616628,17643698,17665593,17683551,17700481,17720714,17749464,17787329,17829444
California,2016,17869644,17903852,17930902,17952732,17973039,17993197,18013049,18031471,18046714,18059728,18075298,18097891
California,2017,18128436,18165196,18202131,18236856,18268115,18293785,18313576,18327306,18335505,18341328,18346796,18357229
California,2018,18376536,18406818,18443706,18476837,18497884,18506956,18507679,18506230,18507042,18512717,18522233,18533124
California,2019,18541902,18548090,18553148,18562033,18575756,18593293,18613227,18636253,18667908,18702621,18736108,18760088
California,2020,18770034,18768004,18245996,15688440,15635673,16411270,16561398,16673712,16802992,16887988,16965156,17023645
California,2021,17073243,17133589,17215261,17314299,17415395,17522958,17613404,17710108,17798262,17905992,18006242,18112373
California,2022,18204332,18278530,18336979,18391749,18416238,18440468,18448104,18441058,18430090,18435948,18455018,18473793
California,2023,18494840,18509936,18527397,18548993,18566506,18579701,18579240,18576462,18567990,18567656,18554388,18569024
California,2024,18566015,18564697,18567512,18580508,18602757,18617734,18624206,18625435,18612058,18616021,18619221,18618007
California,2025,18634837,18644981,18659867,18699706,18749102,18770645,18763049,0,0,0,0,0
Colorado,1975,0,0,0,0,0,0,0,0,0,0,0,0
