"year","state","sales"
1990,"Missouri",33.34
1991,"Missouri",33.34
1992,"Missouri",33.34
1993,"Missouri",33.34
1994,"Missouri",33.34
1995,"Missouri",33.34
1996,"Missouri",33.34
1997,"Missouri",33.34
1998,"Missouri",33.34
1999,"Missouri",100
2000,"Missouri",100
2001,"Missouri",100
2002,"Missouri",100
2003,"Missouri",100
2004,"Missouri",100
2005,"Missouri",100
2006,"Missouri",100
2007,"Missouri",100
2008,"Missouri",100
2009,"Missouri",100
2010,"Missouri",100
2011,"Missouri",100
2012,"Missouri",100
1985,"Montana",33.34
1986,"Montana",33.34
1987,"Montana",33.34
1988,"Montana",33.34
1989,"Montana",33.34
1990,"Montana",33.34
1991,"Montana",33.34
1992,"Montana",33.34
1993,"Montana",33.34
1994,"Montana",33.34
1995,"Montana",33.34
1996,"Montana",33.34
1997,"Montana",33.34
1998,"Montana",33.34
1999,"Montana",33.34
2000,"Montana",33.34
2001,"Montana",33.34
2002,"Montana",33.34
2003,"Montana",33.34
2004,"Montana",33.34
2005,"Montana",33.34
2006,"Montana",33.34
2007,"Montana",33.34
2008,"Montana",33.34
2009,"Montana",33.34
2010,"Montana",33.34
2011,"Montana",33.34
2012,"Montana",33.34
1985,"Nebraska",33.34
1986,"Nebraska",33.34
1987,"Nebraska",33.34
1988,"Nebraska",46.67
1989,"Nebraska",60
1990,"Nebraska",73.33
1991,"Nebraska",86.67
1992,"Nebraska",100
1993,"Nebraska",100
1994,"Nebraska",100
1995,"Nebraska",100
1996,"Nebraska",100
1997,"Nebraska",100
1998,"Nebraska",100
1999,"Nebraska",100
2000,"Nebraska",100
2001,"Nebraska",100
2002,"Nebraska",100
2003,"Nebraska",100
2004,"Nebraska",100
2005,"Nebraska",100
2006,"Nebraska",100
2007,"Nebraska",100
2008,"Nebraska",100
2009,"Nebraska",100
2010,"Nebraska",100
2011,"Nebraska",100
2012,"Nebraska",100
1985,"Nevada",NA
1986,"Nevada",NA
1987,"Nevada",NA
1988,"Nevada",NA
1989,"Nevada",NA
1990,"Nevada",NA
1991,"Nevada",NA
1992,"Nevada",NA
1993,"Nevada",NA
1994,"Nevada",NA
1995,"Nevada",NA
1996,"Nevada",NA
1997,"Nevada",NA
1998,"Nevada",NA
1999,"Nevada",NA
2000,"Nevada",NA
2001,"Nevada",NA
2002,"Nevada",NA
2003,"Nevada",NA
2004,"Nevada",NA
2005,"Nevada",NA
2006,"Nevada",NA
2007,"Nevada",NA
2008,"Nevada",NA
2009,"Nevada",NA
2010,"Nevada",NA
2011,"Nevada",NA
2012,"Nevada",NA
1985,"New Hampshire",33.34
1986,"New Hampshire",33.34
1987,"New Hampshire",33.34
1988,"New Hampshire",33.34
1989,"New Hampshire",33.34
1990,"New Hampshire",33.34
1991,"New Hampshire",33.34
1992,"New Hampshire",50
1993,"New Hampshire",50
1994,"New Hampshire",50
1995,"New Hampshire",50
1996,"New Hampshire",50
1997,"New Hampshire",50
1998,"New Hampshire",50
1999,"New Hampshire",50
2000,"New Hampshire",50
2001,"New Hampshire",50
2002,"New Hampshire",50
2003,"New Hampshire",50
2004,"New Hampshire",50
2005,"New Hampshire",50
2006,"New Hampshire",50
2007,"New Hampshire",50
2008,"New Hampshire",50
2009,"New Hampshire",50
2010,"New Hampshire",50
2011,"New Hampshire",50
2012,"New Hampshire",50
1985,"New Jersey",33.34
1986,"New Jersey",33.34
1987,"New Jersey",33.34
1988,"New Jersey",33.34
1989,"New Jersey",33.34
1990,"New Jersey",33.34
1991,"New Jersey",33.34
1992,"New Jersey",33.34
1993,"New Jersey",33.34
1994,"New Jersey",33.34
1995,"New Jersey",33.34
1996,"New Jersey",33.34
1997,"New Jersey",50
1998,"New Jersey",50
1999,"New Jersey",50
2000,"New Jersey",50
2001,"New Jersey",50
2002,"New Jersey",50
2003,"New Jersey",50
2004,"New Jersey",50
2005,"New Jersey",50
2006,"New Jersey",50
2007,"New Jersey",50
2008,"New Jersey",50
2009,"New Jersey",50
2010,"New Jersey",50
2011,"New Jersey",50
2012,"New Jersey",70
1985,"New Mexico",33.34
1986,"New Mexico",33.34
1987,"New Mexico",33.34
1988,"New Mexico",33.34
1989,"New Mexico",33.34
1990,"New Mexico",33.34
1991,"New Mexico",33.34
1992,"New Mexico",33.34
1993,"New Mexico",33.34
1994,"New Mexico",33.34
1995,"New Mexico",33.34
1996,"New Mexico",33.34
1997,"New Mexico",33.34
1998,"New Mexico",33.34
1999,"New Mexico",33.34
2000,"New Mexico",33.34
2001,"New Mexico",33.34
2002,"New Mexico",33.34
2003,"New Mexico",33.34
2004,"New Mexico",33.34
2005,"New Mexico",33.34
2006,"New Mexico",33.34
2007,"New Mexico",33.34
2008,"New Mexico",33.34
2009,"New Mexico",33.34
2010,"New Mexico",33.34
2011,"New Mexico",33.34
2012,"New Mexico",33.34
1985,"New York",50
1986,"New York",50
1987,"New York",50
1988,"New York",50
1989,"New York",50
1990,"New York",50
1991,"New York",50
1992,"New York",50
1993,"New York",50
1994,"New York",50
1995,"New York",50
1996,"New York",50
1997,"New York",50
1998,"New York",50
1999,"New York",50
2000,"New York",50
2001,"New York",50
2002,"New York",50
2003,"New York",50
2004,"New York",50
2005,"New York",50
2006,"New York",50
2007,"New York",80
2008,"New York",100
2009,"New York",100
2010,"New York",100
2011,"New York",100
2012,"New York",100
1985,"North Carolina",33.34
1986,"North Carolina",33.34
1987,"North Carolina",33.34
1988,"North Carolina",33.34
1989,"North Carolina",50
1990,"North Carolina",50
1991,"North Carolina",50
1992,"North Carolina",50
1993,"North Carolina",50
1994,"North Carolina",50
1995,"North Carolina",50
1996,"North Carolina",50
1997,"North Carolina",50
1998,"North Carolina",50
1999,"North Carolina",50
2000,"North Carolina",50
2001,"North Carolina",50
2002,"North Carolina",50
2003,"North Carolina",50
2004,"North Carolina",50
2005,"North Carolina",50
2006,"North Carolina",50
2007,"North Carolina",50
2008,"North Carolina",50
2009,"North Carolina",50
2010,"North Carolina",50
2011,"North Carolina",50
2012,"North Carolina",50
1985,"North Dakota",33.34
1986,"North Dakota",33.34
1987,"North Dakota",33.34
1988,"North Dakota",33.34
1989,"North Dakota",33.34
1990,"North Dakota",33.34
1991,"North Dakota",33.34
1992,"North Dakota",33.34
1993,"North Dakota",33.34
1994,"North Dakota",33.34
1995,"North Dakota",33.34
1996,"North Dakota",33.34
1997,"North Dakota",33.34
1998,"North Dakota",33.34
1999,"North Dakota",33.34
2000,"North Dakota",33.34
2001,"North Dakota",33.34
2002,"North Dakota",33.34
2003,"North Dakota",33.34
2004,"North Dakota",33.34
2005,"North Dakota",33.34
2006,"North Dakota",33.34
2007,"North Dakota",33.34
2008,"North Dakota",33.34
2009,"North Dakota",33.34
2010,"North Dakota",33.34
2011,"North Dakota",33.34
2012,"North Dakota",33.34
1985,"Ohio",50
1986,"Ohio",50
1987,"Ohio",50
1988,"Ohio",50
1989,"Ohio",50
1990,"Ohio",50
1991,"Ohio",50
1992,"Ohio",50
1993,"Ohio",50
1994,"Ohio",50
1995,"Ohio",50
1996,"Ohio",50
1997,"Ohio",50
1998,"Ohio",50
1999,"Ohio",50
2000,"Ohio",60
2001,"Ohio",60
2002,"Ohio",60
2003,"Ohio",60
2004,"Ohio",60
2005,"Ohio",60
2006,"Ohio",60
2007,"Ohio",60
2008,"Ohio",60
2009,"Ohio",60
2010,"Ohio",60
2011,"Ohio",60
2012,"Ohio",60
1985,"Oklahoma",33.34
1986,"Oklahoma",33.34
1987,"Oklahoma",33.34
1988,"Oklahoma",33.34
1989,"Oklahoma",33.34
1990,"Oklahoma",33.34
1991,"Oklahoma",33.34
1992,"Oklahoma",33.34
1993,"Oklahoma",33.34
1994,"Oklahoma",33.34
1995,"Oklahoma",33.34
1996,"Oklahoma",33.34
1997,"Oklahoma",33.34
1998,"Oklahoma",33.34
1999,"Oklahoma",33.34
2000,"Oklahoma",33.34
2001,"Oklahoma",33.34
2002,"Oklahoma",33.34
2003,"Oklahoma",33.34
2004,"Oklahoma",33.34
2005,"Oklahoma",33.34
2006,"Oklahoma",33.34
2007,"Oklahoma",33.34
2008,"Oklahoma",33.34
2009,"Oklahoma",33.34
2010,"Oklahoma",33.34
2011,"Oklahoma",33.34
2012,"Oklahoma",33.34
1985,"Oregon",33.34
1986,"Oregon",33.34
1987,"Oregon",33.34
1988,"Oregon",33.34
1989,"Oregon",33.34
1990,"Oregon",33.34
1991,"Oregon",50
1992,"Oregon",50
1993,"Oregon",50
1994,"Oregon",50
1995,"Oregon",50
1996,"Oregon",50
1997,"Oregon",50
1998,"Oregon",50
1999,"Oregon",50
2000,"Oregon",50
2001,"Oregon",50
2002,"Oregon",50
2003,"Oregon",50
2004,"Oregon",80
2005,"Oregon",80
2006,"Oregon",100
2007,"Oregon",100
2008,"Oregon",100
2009,"Oregon",100
2010,"Oregon",100
2011,"Oregon",100
2012,"Oregon",100
1985,"Pennsylvania",33.34
1986,"Pennsylvania",33.34
1987,"Pennsylvania",33.34
1988,"Pennsylvania",33.34
1989,"Pennsylvania",33.34
1990,"Pennsylvania",33.34
1991,"Pennsylvania",33.34
1992,"Pennsylvania",33.34
1993,"Pennsylvania",33.34
1994,"Pennsylvania",60
1995,"Pennsylvania",60
1996,"Pennsylvania",60
1997,"Pennsylvania",60
1998,"Pennsylvania",60
1999,"Pennsylvania",60
2000,"Pennsylvania",60
2001,"Pennsylvania",60
2002,"Pennsylvania",60
2003,"Pennsylvania",60
2004,"Pennsylvania",60
2005,"Pennsylvania",60
2006,"Pennsylvania",60
2007,"Pennsylvania",70
2008,"Pennsylvania",70
2009,"Pennsylvania",85
2010,"Pennsylvania",90
2011,"Pennsylvania",90
2012,"Pennsylvania",90
1985,"Rhode Island",33.34
1986,"Rhode Island",33.34
1987,"Rhode Island",33.34
1988,"Rhode Island",33.34
1989,"Rhode Island",33.34
1990,"Rhode Island",33.34
1991,"Rhode Island",33.34
1992,"Rhode Island",33.34
1993,"Rhode Island",33.34
1994,"Rhode Island",33.34
1995,"Rhode Island",33.34
1996,"Rhode Island",33.34
1997,"Rhode Island",33.34
1998,"Rhode Island",33.34
1999,"Rhode Island",33.34
2000,"Rhode Island",33.34
2001,"Rhode Island",33.34
2002,"Rhode Island",33.34
2003,"Rhode Island",33.34
2004,"Rhode Island",33.34
2005,"Rhode Island",33.34
2006,"Rhode Island",33.34
2007,"Rhode Island",33.34
2008,"Rhode Island",33.34
2009,"Rhode Island",33.34
2010,"Rhode Island",33.34
2011,"Rhode Island",33.34
2012,"Rhode Island",33.34
1985,"South Carolina",33.34
1986,"South Carolina",33.34
1987,"South Carolina",33.34
1988,"South Carolina",33.34
1989,"South Carolina",33.34
1990,"South Carolina",33.34
1991,"South Carolina",33.34
1992,"South Carolina",33.34
1993,"South Carolina",33.34
1994,"South Carolina",33.34
1995,"South Carolina",50
1996,"South Carolina",50
1997,"South Carolina",50
1998,"South Carolina",50
1999,"South Carolina",50
2000,"South Carolina",50
2001,"South Carolina",50
2002,"South Carolina",50
2003,"South Carolina",50
2004,"South Carolina",50
2005,"South Carolina",50
2006,"South Carolina",50
2007,"South Carolina",50
2008,"South Carolina",50
2009,"South Carolina",50
2010,"South Carolina",50
2011,"South Carolina",100
2012,"South Carolina",100
1985,"South Dakota",NA
1986,"South Dakota",NA
1987,"South Dakota",NA
1988,"South Dakota",NA
1989,"South Dakota",NA
1990,"South Dakota",NA
1991,"South Dakota",NA
1992,"South Dakota",NA
1993,"South Dakota",NA
1994,"South Dakota",NA
1995,"South Dakota",NA
1996,"South Dakota",NA
1997,"South Dakota",NA
