"path","ext","size_bytes","mtime","last_commit","last_date","last_author","last_subject"
"CrossPartial/OwnCIT_elas_Plot_VerticalLines.png","png",67308,"2025-06-18 15:35:52.863906","337d3c6","2024-04-23","Ben Jaros","Vertical Lines Elas Plot + Background"
"CrossPartial/RegionNumber.xlsx","xlsx",9787,"2025-06-18 15:35:52.864504","337d3c6","2024-04-23","Ben Jaros","Vertical Lines Elas Plot + Background"
"CrossPartial/RNChart.xlsx","xlsx",8948,"2025-06-18 15:35:52.864319","337d3c6","2024-04-23","Ben Jaros","Vertical Lines Elas Plot + Background"
"CrossPartial/SalesFactorWeights_ALLStates_Apri_2024.xlsx","xlsx",48362,"2025-06-18 15:35:52.865166","82952b6","2024-04-19","Ben Jaros","Files added to Cross Partial Elasticity"
"CrossPartial/SALT_App_Merge_2024.csv","csv",398690,"2025-06-18 15:35:52.865042","23343e8","2024-02-23","Ben Jaros","Updates to App & Rev Cross Partial Estimate"
"CrossPartial/State_by_state_OwnCITBase_Elasticity.png","png",95827,"2025-06-18 15:35:52.865577","b82faee","2024-04-22","Ben Jaros","Create State_by_state_OwnCITBase_Elasticity.png"
"CrossPartial/StateCIT_Rates_1976_2019.xlsx","xlsx",19502,"2025-06-18 15:35:52.865284","f1042dc","2024-04-17","Ben Jaros","Load Data for Cross Partial"
"CrossPartial/stateCIT_rates_1976_2023.xlsx","xlsx",23440,"2025-06-18 15:35:52.865851","82952b6","2024-04-19","Ben Jaros","Files added to Cross Partial Elasticity"
"CrossPartial/SurroundingYears_PercChangeApp_Rev.csv","csv",43906,"2025-06-18 15:35:52.865738","dd37fe3","2024-04-21","Ben Jaros","Plot and Date for Own CIT Elasticity w.r.t App Weight"
"Detrended_2004-2010_total_rev.png","png",41229,"2025-06-18 15:35:52.866056","3003b3c","2024-06-25","Ben Jaros","Detrend CIT and Total Revenue"
"DiD_PreTrendCharts_2_16_Clean.R","R",5295,"2025-06-18 15:35:52.866136","e903c17","2024-02-16","Ben Jaros","Changes/Plots Made for Jonathan"
"Diff_Log_4_16_24.csv","csv",3571,"2025-06-18 15:35:52.86626","7a3da92","2024-04-16","Ben Jaros","Plots for Jonathan"
"Diff_Log_df_4_16_24.csv","csv",3772,"2025-06-18 15:35:52.866314","7a3da92","2024-04-16","Ben Jaros","Plots for Jonathan"
"Diff_Log.csv","csv",3772,"2025-06-18 15:35:52.866199","7a3da92","2024-04-16","Ben Jaros","Plots for Jonathan"
"Direct_Switch_DiD/.RData","RData",1023830,"2025-06-18 15:35:52.867804","055d171","2024-03-08","Ben Jaros","R Script and history for Direct Switch Plots"
"Direct_Switch_DiD/.Rhistory","Rhistory",20069,"2025-06-18 15:35:52.8679","055d171","2024-03-08","Ben Jaros","R Script and history for Direct Switch Plots"
"Direct_Switch_DiD/Colorado time to treatment.png","png",45044,"2025-06-18 15:35:52.868043","c2d48da","2024-03-08","Ben Jaros","Event Study Plots for Direct Switchers and Coeff Estimate"
"Direct_Switch_DiD/Colorado_Collinear.png","png",43689,"2025-06-18 15:35:52.868178","c2d48da","2024-03-08","Ben Jaros","Event Study Plots for Direct Switchers and Coeff Estimate"
"Direct_Switch_DiD/Delaware Collinear.png","png",43260,"2025-06-18 15:35:52.868314","055d171","2024-03-08","Ben Jaros","R Script and history for Direct Switch Plots"
"Direct_Switch_DiD/Delaware time to treatment.png","png",44115,"2025-06-18 15:35:52.86845","055d171","2024-03-08","Ben Jaros","R Script and history for Direct Switch Plots"
"Direct_Switch_DiD/Direct_Switch_First7.R","R",2335,"2025-06-18 15:35:52.868548","da5bec9","2024-03-07","Ben Jaros","Direct Switch DiD Coeff Estimate and Plot"
"Direct_Switch_DiD/Direct_Switch_Through2007.R","R",17691,"2025-06-18 15:35:52.868616","055d171","2024-03-08","Ben Jaros","R Script and history for Direct Switch Plots"
"Direct_Switch_DiD/FRED_SALT_Rev_Feb_2024 copy.csv","csv",342871,"2025-06-18 15:35:52.869041","da5bec9","2024-03-07","Ben Jaros","Direct Switch DiD Coeff Estimate and Plot"
"Direct_Switch_DiD/Missippi_Collinear.png","png",44972,"2025-06-18 15:35:52.86923","c2d48da","2024-03-08","Ben Jaros","Event Study Plots for Direct Switchers and Coeff Estimate"
"Direct_Switch_DiD/Mississippi_time to treatment.png","png",45786,"2025-06-18 15:35:52.86938","c2d48da","2024-03-08","Ben Jaros","Event Study Plots for Direct Switchers and Coeff Estimate"
"Direct_Switch_DiD/Missouri_Collinear_Drop_9yearsPostTreatment.png","png",44222,"2025-06-18 15:35:52.869519","7f92180","2024-03-08","Ben Jaros","Plots for NE and MO"
"Direct_Switch_DiD/Missouri_LargerTimeFrame.png","png",45446,"2025-06-18 15:35:52.869668","7f92180","2024-03-08","Ben Jaros","Plots for NE and MO"
"Direct_Switch_DiD/Missouri_time_to_treatment_Plot.png","png",44379,"2025-06-18 15:35:52.869807","7f92180","2024-03-08","Ben Jaros","Plots for NE and MO"
"Direct_Switch_DiD/NE_DiD_Plot_PrePeriods_Drop.png","png",46068,"2025-06-18 15:35:52.869956","7f92180","2024-03-08","Ben Jaros","Plots for NE and MO"
"Direct_Switch_DiD/NE_Event Study_ DiD Plot.png","png",45435,"2025-06-18 15:35:52.870128","7f92180","2024-03-08","Ben Jaros","Plots for NE and MO"
"Direct_Switch_DiD/North Dakota Collinear.png","png",43210,"2025-06-18 15:35:52.870291","c2d48da","2024-03-08","Ben Jaros","Event Study Plots for Direct Switchers and Coeff Estimate"
"Direct_Switch_DiD/North Dakota time to treatment.png","png",45813,"2025-06-18 15:35:52.870589","c2d48da","2024-03-08","Ben Jaros","Event Study Plots for Direct Switchers and Coeff Estimate"
"Direct_Switch_DiD/Rhode Island Collinear.png","png",45576,"2025-06-18 15:35:52.870755","c2d48da","2024-03-08","Ben Jaros","Event Study Plots for Direct Switchers and Coeff Estimate"
"Direct_Switch_DiD/Rhode Island time to treatment.png","png",45356,"2025-06-18 15:35:52.871397","c2d48da","2024-03-08","Ben Jaros","Event Study Plots for Direct Switchers and Coeff Estimate"
"Direct_Switch_DiD/Rplot.png","png",45435,"2025-06-18 15:35:52.871685","7f92180","2024-03-08","Ben Jaros","Plots for NE and MO"
"Direct_Switch_DiD/SALT_App_Merge_2024.csv","csv",398690,"2025-06-18 15:35:52.87288","da5bec9","2024-03-07","Ben Jaros","Direct Switch DiD Coeff Estimate and Plot"
"DTA_Giroud_Data.R","R",107,"2025-06-18 15:35:52.865917","e57b747","2023-10-03","Ben Jaros","Add files via upload"
"EffectiveYearSSFA.xlsx","xlsx",9859,"2025-06-18 15:35:52.873374","3be32b2","2023-06-24","Ben Jaros","Add files via upload"
"event_study.R","R",11882,"2025-06-18 15:35:52.908302","f7c328d","2024-03-01","Ben Jaros","Update for Jonathan 3_1_24"
"Final_SSFA.xlsx","xlsx",588585,"2025-06-18 15:35:52.873768","fd89e7d","2023-10-31","Ben Jaros","Maps In Excel"
"Fraction_CIT_Rev.csv","csv",38385,"2025-06-18 15:35:52.873945","85fb163","2023-10-03","Ben Jaros","Add files via upload"
"Fraction_Nationwide_CIT_Rev.R","R",3458,"2025-06-18 15:35:52.874038","85fb163","2023-10-03","Ben Jaros","Add files via upload"
"Gardner_Butts_DiD.R","R",5854,"2025-06-18 15:35:52.874167","2c9bc52","2024-04-05","Ben Jaros","Final Updates to Gardner"
"Gardner_Year.csv","csv",1079,"2025-06-18 15:35:52.87423","206e27d","2024-04-05","Ben Jaros","Attempt at Gardner"
"Giroud_Just_Appt_States.csv","csv",29121,"2025-06-18 15:35:52.874899","1b6ea0d","2023-10-04","Ben Jaros","Audit to Apportionment"
"Giroud_MyApp_differences.csv","csv",2070,"2025-06-18 15:35:52.874988","1b6ea0d","2023-10-04","Ben Jaros","Audit to Apportionment"
"Giroud.csv","csv",441738,"2025-06-18 15:35:52.874793","85fb163","2023-10-03","Ben Jaros","Add files via upload"
"GPT_PRE_WORKSHOP_SCIT.R","R",4840,"2025-06-18 15:35:52.874094","e57b747","2023-10-03","Ben Jaros","Add files via upload"
"InflationAdj.R","R",987,"2025-06-18 15:35:52.875065","e57b747","2023-10-03","Ben Jaros","Add files via upload"
"InitialMap.xlsx","xlsx",9841,"2025-06-18 15:35:52.875346","fd89e7d","2023-10-31","Ben Jaros","Maps In Excel"
"job_market_data/.DS_Store",NA,22532,"2025-09-09 22:12:43.746606","279eb1b","2025-08-29","Ben Jaros","History and severance tax for Logit/probit"
"job_market_data/.RData","RData",92493,"2025-09-09 22:12:43.747616","279eb1b","2025-08-29","Ben Jaros","History and severance tax for Logit/probit"
"job_market_data/.Rhistory","Rhistory",4825,"2025-09-09 22:12:43.748176","279eb1b","2025-08-29","Ben Jaros","History and severance tax for Logit/probit"
"job_market_data/2007_Switchers_sDiD.csv","csv",45308,"2025-06-18 15:35:52.909755","fa58624","2024-07-06","Ben Jaros","sDiD plots for 2007 switchers, etc"
"job_market_data/5.1_trends_CI.png","png",112226,"2025-06-18 15:35:52.90995","ed215e6","2025-04-04","Ben Jaros","Descriptive Plots- 5.1_ Dissertation"
"job_market_data/5.1_trends_NonCorpTR.png","png",92818,"2025-06-18 15:35:52.910177","ed215e6","2025-04-04","Ben Jaros","Descriptive Plots- 5.1_ Dissertation"
"job_market_data/5.1_trends_Proxy_CI.png","png",114928,"2025-06-18 15:35:52.910412","ed215e6","2025-04-04","Ben Jaros","Descriptive Plots- 5.1_ Dissertation"
"job_market_data/5.1_trends_rate.png","png",91339,"2025-06-18 15:35:52.910617","ed215e6","2025-04-04","Ben Jaros","Descriptive Plots- 5.1_ Dissertation"
"job_market_data/AppWeights_4_21_24_Rev copy.csv","csv",233093,"2025-06-18 15:35:52.91088","acc3436","2024-05-31","Ben Jaros","Elasticity Plots MERGE to Final Data"
"job_market_data/Avg_Descriptive_Plots/log_RNCTR_trends.png","png",169959,"2025-06-18 15:35:52.911545","f0abff5","2025-02-08","Ben Jaros","Average Plots for CIT Rev, NCI Tax Rev, CI, and Tax Rates"
"job_market_data/Avg_Descriptive_Plots/logRealCitRev_trends.png","png",103531,"2025-06-18 15:35:52.911153","f0abff5","2025-02-08","Ben Jaros","Average Plots for CIT Rev, NCI Tax Rev, CI, and Tax Rates"
"job_market_data/Avg_Descriptive_Plots/rates_trends.png","png",160434,"2025-06-18 15:35:52.911944","f0abff5","2025-02-08","Ben Jaros","Average Plots for CIT Rev, NCI Tax Rev, CI, and Tax Rates"
"job_market_data/Avg_Descriptive_Plots/real_log_nci_trends.png","png",187366,"2025-06-18 15:35:52.912414","f0abff5","2025-02-08","Ben Jaros","Average Plots for CIT Rev, NCI Tax Rev, CI, and Tax Rates"
"job_market_data/bls_capita.R","R",6444,"2025-06-18 15:35:53.179539","c7d2425","2024-08-30","Ben Jaros","Update bls_capita.R"
"job_market_data/bls_detrend.csv","csv",309029,"2025-06-18 15:35:53.180181","d2a291b","2024-08-27","Ben Jaros","BLS Estimation Results"
"job_market_data/BLS_loop_results.docx","docx",57907,"2025-06-18 15:35:52.912612","4b01d2b","2024-09-10","Ben Jaros","Real, Naive Corporate Income per capita"
"job_market_data/bls_loop.R","R",11287,"2025-06-18 15:35:53.180397","d2a291b","2024-08-27","Ben Jaros","BLS Estimation Results"
"job_market_data/bls_NoID_complete.csv","csv",349082,"2025-06-18 15:35:53.179438","4c195f5","2024-08-23","Ben Jaros","Moved BLS to Job Market Data Folder"
"job_market_data/bls_post.csv","csv",298728,"2025-06-18 15:35:53.181014","05d0e6a","2024-08-24","Ben Jaros","BLS sDiD loop Results"
